Date,Ticker,Per,Date,Open,High,Low,Close,Vol
2010-01-04,US1.NDAQ,1,2010-01-04 17:31:40,20.24,20.25,20.22,20.22,63202
2010-01-05,US1.NDAQ,1,2010-01-05 17:31:40,20.2902,20.3,20.28,20.28,24691
2010-01-06,US1.NDAQ,1,2010-01-06 17:31:40,20.28,20.29,20.27,20.29,12756
2010-01-07,US1.NDAQ,1,2010-01-07 17:31:40,20.02,20.03,20.01,20.01,40267
2010-01-08,US1.NDAQ,1,2010-01-08 17:31:40,20.19,20.22,20.19,20.22,20207
2010-01-09,US1.NDAQ,1,2010-01-09 00:00:00,20.21,20.22,20.21,20.22,18784
2010-01-11,US1.NDAQ,1,2010-01-11 17:31:40,20.28,20.3,20.28,20.29,50923
2010-01-12,US1.NDAQ,1,2010-01-12 17:31:40,19.92,19.93,19.91,19.93,17318
2010-01-13,US1.NDAQ,1,2010-01-13 17:31:40,20.11,20.12,20.11,20.115,53755
2010-01-14,US1.NDAQ,1,2010-01-14 17:31:40,20.26,20.26,20.24,20.25,34361
2010-01-15,US1.NDAQ,1,2010-01-15 17:31:40,20.17,20.18,20.16,20.16,30866
2010-01-16,US1.NDAQ,1,2010-01-16 00:00:00,20.17,20.18,20.16,20.17,53184
2010-01-19,US1.NDAQ,1,2010-01-19 17:31:40,20.15,20.15,20.14,20.14,8391
2010-01-20,US1.NDAQ,1,2010-01-20 17:31:40,19.93,19.93,19.92,19.93,27471
2010-01-21,US1.NDAQ,1,2010-01-21 17:31:40,19.0,19.0,18.98,18.99,58720
2010-01-22,US1.NDAQ,1,2010-01-22 17:31:40,18.35,18.36,18.34,18.34,44604
2010-01-23,US1.NDAQ,1,2010-01-23 00:00:00,18.35,18.35,18.32,18.34,70950
2010-01-25,US1.NDAQ,1,2010-01-25 17:31:40,18.39,18.4,18.38,18.38,11543
2010-01-26,US1.NDAQ,1,2010-01-26 17:31:40,18.12,18.13,18.11,18.12,33980
2010-01-27,US1.NDAQ,1,2010-01-27 17:31:40,18.3398,18.355,18.33,18.34,47335
2010-01-28,US1.NDAQ,1,2010-01-28 17:31:40,18.27,18.27,18.24,18.25,26330
2010-01-29,US1.NDAQ,1,2010-01-29 17:31:40,18.01,18.03,18.0,18.01,63216
2010-01-30,US1.NDAQ,1,2010-01-30 00:00:00,18.0,18.01,18.0,18.0,73979
2010-02-01,US1.NDAQ,1,2010-02-01 17:31:40,18.44,18.44,18.43,18.44,30969
2010-02-02,US1.NDAQ,1,2010-02-02 17:31:40,18.53,18.56,18.53,18.5502,16922
2010-02-03,US1.NDAQ,1,2010-02-03 17:31:40,19.0,19.01,18.99,19.0,56531
2010-02-04,US1.NDAQ,1,2010-02-04 17:31:40,18.38,18.38,18.36,18.37,42591
2010-02-05,US1.NDAQ,1,2010-02-05 17:31:40,18.79,18.8,18.78,18.79,24928
2010-02-06,US1.NDAQ,1,2010-02-06 00:00:00,18.79,18.81,18.78,18.81,63280
2010-02-08,US1.NDAQ,1,2010-02-08 17:31:40,18.01,18.04,17.99,18.04,79227
2010-02-09,US1.NDAQ,1,2010-02-09 17:31:40,18.19,18.2,18.19,18.2,28694
2010-02-10,US1.NDAQ,1,2010-02-10 17:31:40,18.12,18.12,18.11,18.12,14541
2010-02-11,US1.NDAQ,1,2010-02-11 17:31:40,18.16,18.17,18.15,18.16,37531
2010-02-12,US1.NDAQ,1,2010-02-12 17:31:40,18.28,18.28,18.26,18.26,79923
2010-02-13,US1.NDAQ,1,2010-02-13 00:00:00,18.26,18.3,18.26,18.29,149512
2010-02-16,US1.NDAQ,1,2010-02-16 17:31:40,18.54,18.55,18.54,18.55,26882
2010-02-17,US1.NDAQ,1,2010-02-17 17:31:40,18.58,18.59,18.58,18.58,33459
2010-02-18,US1.NDAQ,1,2010-02-18 17:31:40,18.59,18.59,18.58,18.59,41156
2010-02-19,US1.NDAQ,1,2010-02-19 17:31:40,18.63,18.63,18.6,18.61,25603
2010-02-20,US1.NDAQ,1,2010-02-20 00:00:00,18.6092,18.63,18.6,18.63,59144
2010-02-22,US1.NDAQ,1,2010-02-22 17:31:40,18.51,18.52,18.51,18.52,17203
2010-02-23,US1.NDAQ,1,2010-02-23 17:31:40,18.43,18.43,18.4,18.4,29035
2010-02-24,US1.NDAQ,1,2010-02-24 17:31:40,18.5997,18.6,18.59,18.59,23488
2010-02-25,US1.NDAQ,1,2010-02-25 17:31:40,18.63,18.64,18.63,18.63,31249
2010-02-26,US1.NDAQ,1,2010-02-26 17:31:40,18.67,18.67,18.64,18.64,39294
2010-02-27,US1.NDAQ,1,2010-02-27 00:00:00,18.64,18.64,18.63,18.63,65677
2010-03-01,US1.NDAQ,1,2010-03-01 17:31:40,18.77,18.79,18.77,18.78,10403
2010-03-02,US1.NDAQ,1,2010-03-02 17:31:40,19.27,19.28,19.26,19.26,27235
2010-03-03,US1.NDAQ,1,2010-03-03 17:31:40,19.44,19.46,19.44,19.46,70259
2010-03-04,US1.NDAQ,1,2010-03-04 17:31:40,19.73,19.73,19.71,19.71,46475
2010-03-05,US1.NDAQ,1,2010-03-05 17:31:40,19.99,20.0,19.98,19.98,49684
2010-03-06,US1.NDAQ,1,2010-03-06 00:00:00,19.98,20.03,19.98,20.02,92891
2010-03-08,US1.NDAQ,1,2010-03-08 17:31:40,20.05,20.06,20.05,20.06,17216
2010-03-09,US1.NDAQ,1,2010-03-09 17:31:40,20.14,20.15,20.14,20.15,14844
2010-03-10,US1.NDAQ,1,2010-03-10 17:31:40,20.21,20.21,20.16,20.18,119746
2010-03-11,US1.NDAQ,1,2010-03-11 17:31:40,20.25,20.26,20.25,20.25,20163
2010-03-12,US1.NDAQ,1,2010-03-12 17:31:40,20.28,20.29,20.27,20.27,30903
2010-03-13,US1.NDAQ,1,2010-03-13 00:00:00,20.28,20.3,20.27,20.29,48143
2010-03-15,US1.NDAQ,1,2010-03-15 23:58:20,20.23,20.23,20.2,20.2,9577
2010-03-16,US1.NDAQ,1,2010-03-16 23:58:20,20.15,20.16,20.15,20.16,4900
2010-03-17,US1.NDAQ,1,2010-03-17 23:58:20,20.46,20.46,20.46,20.46,800
2010-03-18,US1.NDAQ,1,2010-03-18 23:58:20,20.79,20.79,20.78,20.79,3700
2010-03-19,US1.NDAQ,1,2010-03-19 23:58:20,20.96,20.97,20.958,20.96,2525
2010-03-22,US1.NDAQ,1,2010-03-22 23:58:20,20.7801,20.8,20.7801,20.79,3061
2010-03-23,US1.NDAQ,1,2010-03-23 23:58:20,20.86,20.865,20.85,20.8519,1729
2010-03-24,US1.NDAQ,1,2010-03-24 23:58:20,20.87,20.88,20.87,20.88,5540
2010-03-25,US1.NDAQ,1,2010-03-25 23:58:20,20.975,20.98,20.97,20.98,1980
2010-03-26,US1.NDAQ,1,2010-03-26 23:58:20,21.2,21.2,21.2,21.2,300
2010-03-29,US1.NDAQ,1,2010-03-29 17:31:40,21.14,21.16,21.13,21.15,20727
2010-03-30,US1.NDAQ,1,2010-03-30 17:31:40,21.07,21.07,21.06,21.06,12967
2010-03-31,US1.NDAQ,1,2010-03-31 17:31:40,21.17,21.17,21.13,21.13,48895
2010-04-01,US1.NDAQ,1,2010-04-01 17:31:40,21.14,21.14,21.13,21.14,16101
2010-04-02,US1.NDAQ,1,2010-04-02 00:00:00,21.13,21.15,21.13,21.15,55701
2010-04-05,US1.NDAQ,1,2010-04-05 17:31:40,21.62,21.62,21.61,21.62,12159
2010-04-06,US1.NDAQ,1,2010-04-06 17:31:40,21.69,21.69,21.68,21.68,14699
2010-04-07,US1.NDAQ,1,2010-04-07 17:31:40,21.43,21.43,21.42,21.43,6636
2010-04-08,US1.NDAQ,1,2010-04-08 17:31:40,21.72,21.72,21.71,21.72,43260
2010-04-09,US1.NDAQ,1,2010-04-09 17:31:40,21.89,21.89,21.88,21.89,6988
2010-04-10,US1.NDAQ,1,2010-04-10 00:00:00,21.88,21.9,21.88,21.9,33682
2010-04-12,US1.NDAQ,1,2010-04-12 17:31:40,22.02,22.03,22.02,22.03,5816
2010-04-13,US1.NDAQ,1,2010-04-13 17:31:40,21.97,21.98,21.97,21.97,2929
2010-04-14,US1.NDAQ,1,2010-04-14 17:31:40,22.275,22.29,22.275,22.29,12584
2010-04-15,US1.NDAQ,1,2010-04-15 17:31:40,22.18,22.18,22.17,22.18,21997
2010-04-16,US1.NDAQ,1,2010-04-16 17:31:40,21.4,21.42,21.39,21.39,69183
2010-04-17,US1.NDAQ,1,2010-04-17 00:00:00,21.39,21.41,21.38,21.41,111720
2010-04-19,US1.NDAQ,1,2010-04-19 17:31:40,21.54,21.56,21.54,21.56,15648
2010-04-20,US1.NDAQ,1,2010-04-20 17:31:40,21.685,21.7,21.68,21.7,18704
2010-04-21,US1.NDAQ,1,2010-04-21 17:31:40,21.88,21.88,21.87,21.87,16200
2010-04-22,US1.NDAQ,1,2010-04-22 17:31:40,22.26,22.26,22.25,22.25,20490
2010-04-23,US1.NDAQ,1,2010-04-23 17:31:40,22.65,22.69,22.64,22.68,27140
2010-04-24,US1.NDAQ,1,2010-04-24 00:00:00,22.69,22.71,22.68,22.71,31909
2010-04-26,US1.NDAQ,1,2010-04-26 17:31:40,22.95,22.96,22.95,22.95,24484
2010-04-27,US1.NDAQ,1,2010-04-27 17:31:40,21.79,21.8,21.78,21.8,32746
2010-04-28,US1.NDAQ,1,2010-04-28 17:31:40,21.21,21.22,21.21,21.22,115171
2010-04-29,US1.NDAQ,1,2010-04-29 17:31:40,21.75,21.76,21.73,21.74,98037
2010-04-30,US1.NDAQ,1,2010-04-30 17:31:40,21.005,21.04,20.99,21.04,108564
2010-05-01,US1.NDAQ,1,2010-05-01 00:00:00,21.04,21.04,21.0,21.0,125942
2010-05-03,US1.NDAQ,1,2010-05-03 17:31:40,21.085,21.12,21.08,21.12,37220
2010-05-04,US1.NDAQ,1,2010-05-04 17:31:40,20.41,20.42,20.4,20.41,17584
2010-05-05,US1.NDAQ,1,2010-05-05 17:31:40,20.88,20.88,20.86,20.86,55418
2010-05-06,US1.NDAQ,1,2010-05-06 17:31:40,20.16,20.18,20.15,20.16,33552
2010-05-07,US1.NDAQ,1,2010-05-07 17:31:40,19.13,19.13,19.1,19.11,50010
2010-05-08,US1.NDAQ,1,2010-05-08 00:00:00,19.1,19.12,19.08,19.12,46316
2010-05-10,US1.NDAQ,1,2010-05-10 17:31:40,19.655,19.66,19.64,19.65,75252
2010-05-11,US1.NDAQ,1,2010-05-11 17:31:40,19.66,19.67,19.63,19.64,34267
2010-05-12,US1.NDAQ,1,2010-05-12 17:31:40,20.03,20.04,20.02,20.02,34355
2010-05-13,US1.NDAQ,1,2010-05-13 17:31:40,19.85,19.87,19.85,19.87,16982
2010-05-14,US1.NDAQ,1,2010-05-14 17:31:40,19.64,19.65,19.63,19.63,22827
2010-05-15,US1.NDAQ,1,2010-05-15 00:00:00,19.64,19.65,19.63,19.64,113496
2010-05-17,US1.NDAQ,1,2010-05-17 17:31:40,19.67,19.67,19.65,19.65,19588
2010-05-18,US1.NDAQ,1,2010-05-18 17:31:40,19.06,19.07,19.05,19.05,65194
2010-05-19,US1.NDAQ,1,2010-05-19 17:31:40,19.15,19.16,19.15,19.15,6540
2010-05-20,US1.NDAQ,1,2010-05-20 17:31:40,18.12,18.13,18.11,18.11,38393
2010-05-21,US1.NDAQ,1,2010-05-21 17:31:40,18.73,18.75,18.72,18.75,28712
2010-05-22,US1.NDAQ,1,2010-05-22 00:00:00,18.75,18.77,18.74,18.76,141812
2010-05-24,US1.NDAQ,1,2010-05-24 17:31:40,18.35,18.36,18.35,18.35,15990
2010-05-25,US1.NDAQ,1,2010-05-25 17:31:40,18.3,18.32,18.3,18.32,24236
2010-05-26,US1.NDAQ,1,2010-05-26 17:31:40,18.27,18.28,18.27,18.27,14410
2010-05-27,US1.NDAQ,1,2010-05-27 17:31:40,18.89,18.9,18.88,18.895,21223
2010-05-28,US1.NDAQ,1,2010-05-28 17:31:40,18.6,18.62,18.59,18.61,35050
2010-05-29,US1.NDAQ,1,2010-05-29 00:00:00,18.61,18.62,18.58,18.58,96412
2010-06-01,US1.NDAQ,1,2010-06-01 17:31:40,18.4,18.41,18.38,18.39,54806
2010-06-02,US1.NDAQ,1,2010-06-02 17:31:40,18.68,18.7,18.67,18.69,21140
2010-06-03,US1.NDAQ,1,2010-06-03 17:31:40,18.79,18.79,18.77,18.78,17966
2010-06-04,US1.NDAQ,1,2010-06-04 17:31:40,18.42,18.43,18.41,18.41,61364
2010-06-05,US1.NDAQ,1,2010-06-05 00:00:00,18.42,18.46,18.41,18.46,110877
2010-06-07,US1.NDAQ,1,2010-06-07 17:31:40,18.22,18.23,18.22,18.22,28612
2010-06-08,US1.NDAQ,1,2010-06-08 17:31:40,18.27,18.28,18.26,18.28,31810
2010-06-09,US1.NDAQ,1,2010-06-09 17:31:40,18.31,18.32,18.3,18.31,23248
2010-06-10,US1.NDAQ,1,2010-06-10 17:31:40,19.0,19.01,19.0,19.0,46977
2010-06-11,US1.NDAQ,1,2010-06-11 17:31:40,19.17,19.17,19.16,19.16,19260
2010-06-12,US1.NDAQ,1,2010-06-12 00:00:00,19.17,19.17,19.15,19.15,17068
2010-06-14,US1.NDAQ,1,2010-06-14 17:31:40,19.12,19.12,19.1,19.1,15805
2010-06-15,US1.NDAQ,1,2010-06-15 17:31:40,19.68,19.7,19.68,19.69,44385
2010-06-16,US1.NDAQ,1,2010-06-16 17:31:40,19.54,19.54,19.52,19.52,24158
2010-06-17,US1.NDAQ,1,2010-06-17 17:31:40,19.33,19.33,19.32,19.33,13971
2010-06-18,US1.NDAQ,1,2010-06-18 17:31:40,19.17,19.17,19.16,19.16,29053
2010-06-19,US1.NDAQ,1,2010-06-19 00:00:00,19.17,19.17,19.16,19.16,41729
2010-06-21,US1.NDAQ,1,2010-06-21 17:31:40,18.97,18.98,18.96,18.98,15640
2010-06-22,US1.NDAQ,1,2010-06-22 17:31:40,18.67,18.68,18.67,18.67,29918
2010-06-23,US1.NDAQ,1,2010-06-23 17:31:40,18.605,18.605,18.57,18.57,44285
2010-06-24,US1.NDAQ,1,2010-06-24 17:31:40,18.31,18.32,18.3,18.32,23299
2010-06-25,US1.NDAQ,1,2010-06-25 17:31:40,18.87,18.88,18.86,18.87,22725
2010-06-26,US1.NDAQ,1,2010-06-26 00:00:00,18.87,18.89,18.86,18.86,56533
2010-06-28,US1.NDAQ,1,2010-06-28 17:31:40,18.86,18.88,18.86,18.86,29586
2010-06-29,US1.NDAQ,1,2010-06-29 17:31:40,18.06,18.07,18.04,18.06,42024
2010-06-30,US1.NDAQ,1,2010-06-30 17:31:40,17.79,17.8,17.78,17.79,61124
2010-07-01,US1.NDAQ,1,2010-07-01 17:31:40,17.72,17.73,17.69,17.7,9462
2010-07-02,US1.NDAQ,1,2010-07-02 17:31:40,17.34,17.34,17.31,17.31,25237
2010-07-03,US1.NDAQ,1,2010-07-03 00:00:00,17.31,17.32,17.3,17.3,62702
2010-07-06,US1.NDAQ,1,2010-07-06 17:31:40,17.33,17.33,17.32,17.33,40168
2010-07-07,US1.NDAQ,1,2010-07-07 17:31:40,17.82,17.82,17.78,17.78,28459
2010-07-08,US1.NDAQ,1,2010-07-08 17:31:40,17.98,17.99,17.97,17.99,8932
2010-07-09,US1.NDAQ,1,2010-07-09 17:31:40,18.19,18.19,18.18,18.19,17762
2010-07-10,US1.NDAQ,1,2010-07-10 00:00:00,18.19,18.21,18.18,18.19,49336
2010-07-12,US1.NDAQ,1,2010-07-12 17:31:40,18.15,18.15,18.14,18.15,10269
2010-07-13,US1.NDAQ,1,2010-07-13 17:31:40,18.26,18.26,18.25,18.25,13245
2010-07-14,US1.NDAQ,1,2010-07-14 17:31:40,18.12,18.13,18.12,18.13,13690
2010-07-15,US1.NDAQ,1,2010-07-15 17:31:40,18.14,18.15,18.14,18.14,9930
2010-07-16,US1.NDAQ,1,2010-07-16 17:31:40,17.61,17.62,17.61,17.62,22444
2010-07-17,US1.NDAQ,1,2010-07-17 00:00:00,17.61,17.62,17.6,17.6,53574
2010-07-19,US1.NDAQ,1,2010-07-19 17:31:40,17.71,17.72,17.71,17.72,6037
2010-07-20,US1.NDAQ,1,2010-07-20 17:31:40,18.15,18.16,18.14,18.16,13603
2010-07-21,US1.NDAQ,1,2010-07-21 17:31:40,17.77,17.78,17.77,17.78,8874
2010-07-22,US1.NDAQ,1,2010-07-22 17:31:40,18.43,18.43,18.41,18.42,21646
2010-07-23,US1.NDAQ,1,2010-07-23 17:31:40,18.63,18.64,18.63,18.64,11880
2010-07-24,US1.NDAQ,1,2010-07-24 00:00:00,18.63,18.64,18.63,18.64,23971
2010-07-26,US1.NDAQ,1,2010-07-26 17:31:40,18.99,19.0,18.98,19.0,14344
2010-07-27,US1.NDAQ,1,2010-07-27 17:31:40,19.5,19.51,19.48,19.49,42066
