,Date,Open,High,Low,Close,Vol
0,2010-01-31,18.22,18.225,18.215,18.22,52474.0
1,2010-02-28,18.705,18.715,18.7,18.705,38040.0
2,2010-03-31,21.17,21.17,21.13,21.13,48895.0
3,2010-04-30,21.005,21.04,20.99,21.04,108564.0
4,2010-05-31,18.47,18.48,18.446666666666665,18.453333333333333,68674.66666666667
5,2010-06-30,17.79,17.8,17.78,17.79,61124.0
6,2010-07-31,19.45,19.45,19.44,19.45,32377.0
7,2010-08-31,17.9,17.91,17.89,17.9,44772.0
8,2010-09-30,19.48,19.48,19.46,19.46,68914.0
9,2010-10-31,21.24,21.2475,21.175,21.176250000000003,106001.5
10,2010-11-30,21.51,21.52,21.48,21.48,76078.0
11,2010-12-31,23.73,23.73,23.72,23.72,16386.0
12,2011-01-31,24.36,24.36,24.35,24.36,34486.0
13,2011-02-28,28.61,28.61,28.6,28.6,39795.0
14,2011-03-31,25.83,25.83,25.82,25.82,10660.0
15,2011-04-30,27.145,27.15,27.11,27.11,37262.0
16,2011-05-31,25.51,25.52,25.49,25.5,46569.0
17,2011-06-30,25.315,25.33,25.31,25.33,24275.0
18,2011-07-31,24.145000000000003,24.165,24.12,24.14,28756.5
19,2011-08-31,23.69,23.7,23.66,23.67,26678.0
20,2011-09-30,23.19,23.21,23.17,23.2,42069.0
21,2011-10-31,25.11,25.11,25.1,25.1003,21429.0
22,2011-11-30,25.96,26.0,25.96,25.99,5061.0
23,2011-12-31,24.54,24.54,24.51,24.51,27132.0
24,2012-01-31,24.77,24.8,24.761,24.77,30063.0
25,2012-02-29,26.6,26.6022,26.58,26.59,12575.0
26,2012-03-31,25.895,25.9,25.89,25.9,32492.0
27,2012-04-30,24.56,24.56,24.55,24.56,41620.0
28,2012-05-31,21.87,21.87,21.86,21.87,8696.0
29,2012-06-30,22.645,22.68,22.64,22.67,71053.0
30,2012-07-31,22.74,22.74,22.73,22.74,15442.0
31,2012-08-31,22.9,22.91,22.9,22.91,9182.0
32,2012-09-30,23.41,23.415,23.405,23.4075,16841.0
33,2012-10-31,23.8,23.8,23.79,23.8,10907.0
34,2012-11-30,24.15,24.16,24.15,24.16,4200.0
35,2012-12-31,24.915,24.92,24.915,24.92,700.0
36,2013-01-31,28.1,28.11,28.09,28.09,5100.0
37,2013-02-28,31.77,31.77,31.745,31.75,5700.0
38,2013-03-31,32.1,32.11333333333334,32.096666666666664,32.098333333333336,16863.666666666664
39,2013-04-30,29.44,29.48,29.44,29.475,12348.0
40,2013-05-31,31.54,31.555,31.54,31.555,24385.0
41,2013-06-30,33.02,33.02,32.94,32.9475,29056.5
42,2013-07-31,32.405,32.405,32.38,32.38,12000.0
43,2013-08-31,29.885,29.92,29.83,29.87,104656.0
44,2013-09-30,32.08,32.1,32.07,32.09,11665.0
45,2013-10-31,35.48,35.49,35.47,35.475,11781.0
46,2013-11-30,39.458133333333336,39.47146666666666,39.458133333333336,39.4648,5675.666666666667
47,2013-12-31,39.74,39.74,39.735,39.7375,2566.0
